ADX	Abu Dhabi Securities Exchange
ASE	Athens Stock Exchange
ASX	Australia Stock Exchange
BC	Casablanca Stock Exchange
BCBA	Argentinian Stock Exchange
BDE	Barbados Stock Exchange
BHB	Bahrain Stock Exchange
BIST	Istanbul Stock Exchange
BME	Spanish Stock Exchange
BMV	Mexican Stock Exchange
Bovespa	Brazilian Stock Exchange
BSE	Budapest Stock Exchange
BSX	Bermuda Stock Exchange
BVB	Bucharest Stock Exchange
BVC	Colombia Stock Exchange
BVL	Peruvian Stock Exchange
BVS	Chilean Stock Exchange
BX	Berne Stock Exchange
CSE	Colombo Stock Exchange
DFM	Dubai Financial Market
DSE	Dhaka Stock Exchange
EGX	Egyptian Exchange
ETR	ETR Exchange
EUREX	Eschborn Eurex Exchange
Euronext	Euronext Amsterdam Stock Exchange
FSX	German Stock Exchange
FWB	FWB Exchange
GPW	Warsaw Stock Exchange
HKEX	Hong Kong Stock Exchange
HNX	Hanoi Stock Exchange
HOSE	Ho Chi Minh Stock Exchange
IDX	Indonesia Stock Exchange
ISE	Irish Stock Exchange
JPX	Tokyo Stock Exchange
JSE	Johannesburg Stock Exchange
KASE	Kazakhstan Stock Exchange
KRX	South Korea Stock Exchange
LSE	London Stock Exchange
LuxSE	Luxembourg Stock Exchange
MOEX	Moscow Exchange
MSE	Malta Stock Exchange
MTA	Milan Stock Exchange
MYX	Malaysia Stock Exchange
NASDAQ	NASDAQ Stock Exchange
NSE	India National Stock Exchange
NYSE	New York Stock Exchange
NZX	New Zealand Stock Exchange
OMX	Stockholm Stock Exchange
OMXC	Copenhagen Stock Exchange
OMXH	Helsinki Stock Exchange
OMXR	Riga Stock Exchange
OSE	Oslo Stock Exchange
OTC	OTC Markets
PEX	Palestine Securities Exchange
PSE	Philippine Stock Exchange
PSX	Pakistan Stock Exchange
QE	Qatar Stock Exchange
SEM	Stock Exchange of Mauritius
SET	Stock Exchange of Thailand
SGX	Singapore Exchange
SIX	Swiss Stock Exchange
SSE	Shanghai Stock Exchange
SZSE	Shenzhen Stock Exchange
TADAWUL	Saudi Stock Exchange
TASE	Tel-Aviv Stock Exchange
TSE	Tehran Stock Exchange
TSX	Toronto Stock Exchange
TWSE	Taiwan Stock Exchange
TYO	Tokyo Stock Exchange
UX	Ukrainian Exchange
VSE	Vienna Stock Exchange
VTX	VTX Exchange
ZSE	Croatian Stock Exchange
